filename,google_asset_type,width,height,ai_generated,subject
landscape-office-technology.png,Landscape marketing image,1736,906,Yes,Complete office technology workstation
landscape-meeting-room.png,Landscape marketing image,1736,906,Yes,Video conferencing meeting room
landscape-technology-fulfilment.png,Landscape marketing image,1736,906,Yes,Technology fulfilment workspace
landscape-networking-office.png,Landscape marketing image,1736,906,Yes,Business networking and communications
square-office-technology.png,Square marketing image,1254,1254,Yes,Complete office technology workstation
square-video-conferencing.png,Square marketing image,1254,1254,Yes,Video conferencing meeting room
square-printing-workspace.png,Square marketing image,1254,1254,Yes,Office printers and scanning
square-networking-communications.png,Square marketing image,1254,1254,Yes,Business networking and communications
portrait-office-technology.png,Portrait marketing image,1122,1402,Yes,Complete office technology workstation
portrait-video-conferencing.png,Portrait marketing image,1122,1402,Yes,Video conferencing meeting room
